Д/Д,Цооногийн дугаар,Интервал,Дээжийн дугаар,Минераграфи,SEM-EDX,ABM selected,Rock type,Петрографи,New Lithology by Petrographic,Alteration,HOLE_ID,SAMPLE_ID,Petrographic sample,DEPTH_FROM,DEPTH_TO,SAMPLE THICK,ROCK TYPE,SAMPLE_ID,Recvd Wt. kg,Au ppm,Pt ppm,Pd ppm,Cu ppm,Cu %,Ni ppm,Ni %,P ppm,Pb ppm,S %,Sb ppm,Sc ppm,Sr ppm,Th ppm,Ti %,Tl ppm,U ppm,V ppm,W ppm,Zn ppm,Ce ppm,Nb ppm,Rb ppm,Se ppm,Sn ppm,Ta ppm,Te ppm,Y ppm,Zr ppm,Hg ppm,Al2O3 %,BaO %,CaO %,Cr2O3 %,Fe2O3 %,K2O %,MgO %,MnO %,Na2O %,P2O5 %,SO3 %,SiO2 %,SrO %,TiO2 %,Total %,LOI 1000 %
Д/Д,Цооногийн дугаар,Интервал,Дээжийн дугаар,Минераграфи,SEM-EDX,ABM selected,Rock type,Петрографи,New Lithology by Petrographic,Alteration,HOLE_ID,SAMPLE_ID,Petrographic sample,DEPTH_FROM,DEPTH_TO,SAMPLE THICK,ROCK TYPE,SAMPLE_ID,WEI-21,PGM-ICP27,PGM-ICP27,PGM-ICP27,ME-ICP61,,ME-ICP61,Ni-OG62,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,OA-GRA05x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,OVD038,22.5,46440,,,,,Diorite,Хувирсан андезит ,,OVD038,46440,,22,24,2,Altereted Gabbrodiorite,46440,,<0.01,<0.01,<0.01,58,,246,,930,<2,0.01,<5,20,412,<20,0.38,<10,<10,160,<10,56,80,<5,40,<10,,<10,<10,20,57,,14.05,0.01,8.2,0.05,7.96,0.84,7.37,0.12,2.19,0.2,<0.01,44.36,0.04,0.72,97.21,11
33,OVD038,40.3,46451,+,,x,,Poorly mineralised gabbro,Верлит,,OVD038,46451,ok,41,43,2,Px Hb Gabbro,46451,,<0.01,<0.01,<0.01,232,,397,,1070,5,1.2,6,24,961,<20,0.59,<10,<10,209,<10,84,80,<5,<20,<10,,10,<10,20,88,,12.7,0.05,8.24,0.06,11.2,0.92,10.4,0.18,1.84,0.24,2.93,42.83,0.1,0.98,99.99,7.18
34,OVD038,53.4,46459,+,,x,,Poorly mineralised gabbro,Карбонатын метасоматит ,,OVD038,46459,ok,53,55,2,Olivine Gabbro,46459,,0.01,0.01,0.01,581,,716,,1070,7,0.97,<5,20,1375,<20,0.58,<10,<10,146,<10,81,70,<5,20,<10,,10,<10,20,103,,13.13,0.09,7.84,0.09,10.86,0.81,12,0.16,2.1,0.24,2.39,44.62,0.15,0.96,101.05,5.38
35,OVD038,58.9,46462,+,,,,Dolerite?,,,OVD038,46462,ok,58.8,60,1.2,Altereted Gabbrodiorite,46462,,0.01,0.01,0.01,543,,245,,850,7,0.25,<5,29,428,<20,0.5,<10,<10,176,<10,98,50,<5,20,<10,,<10,<10,20,52,,16.88,0.04,2.7,0.03,11.73,1.61,6.76,0.21,2.69,0.2,0.59,50.4,0.05,0.94,100.45,5.45
36,OVD038,137.57,46470,+,,x,,Weak mineralized Hornblende Peridotite ,Верлит,,OVD038,46470,ok,137.4,138.3,0.9,Diorite,46470,,<0.01,<0.01,<0.01,61,,88,,440,5,0.4,<5,23,1705,<20,0.38,<10,10,209,<10,65,70,<5,<20,<10,,<10,<10,10,38,,11.06,0.01,11.4,0.04,7.85,0.32,5.77,0.16,1.5,0.1,0.96,50.61,0.18,0.61,99.42,8.76
37,OVD039,35,46489,+,,x,,Weak mineralized Hornblende Peridotite ,Peridotite,,OVD039,46489,ok,34,36,2,Poorly mineralised gabbro,46489,,0.01,0.01,0.01,449,,1005,,770,6,0.56,<5,14,341,<20,0.41,<10,<10,99,<10,90,50,<5,<20,<10,,10,<10,10,74,,9.44,0.02,4.87,0.14,12.2,0.47,20,0.15,1.01,0.17,1.38,41.88,0.04,0.68,100.05,7.34
38,OVD039,46.1,46496,,,x,,Poorly mineralized Olivine Gabbro ,Оливинтой вебстерит,,OVD039,46496,ok,44.5,46.3,1.8,Poorly mineralised gabbro,46496,,0.01,0.01,0.01,495,,743,,770,4,1,<5,16,392,<20,0.38,<10,<10,102,<10,75,70,<5,<20,<10,,<10,10,10,53,,10.36,0.01,12.3,0.09,10,0.32,11.1,0.15,1.02,0.17,2.42,37.3,0.04,0.64,99.85,13.75
39,OVD039,106.8,46511,,,x,,Siltstone,Плагиоклаз-кварц- кальцитын метасоматит ,,OVD039,46511,ok,105.9,107,1.1,Dolerite?,46511,,<0.01,<0.01,<0.01,6,,<1,,1620,17,0.18,<5,5,997,<20,0.35,<10,<10,37,<10,85,110,<5,20,<10,,<10,<10,20,220,,16.72,0.1,3.29,<0.01,4.42,1.75,1.26,0.11,5.24,0.37,0.42,62.5,0.11,0.56,99.27,2.36
40,OVD040,44.4,46545,+,,x,,Gabbrdiorite ,Эпидотот амфиболит,,OVD040,46545,ok,43,45,2,Weak mineralized Hornblende Peridotite ,46545,,0.04,0.02,0.03,1880,,2350,,780,20,1.62,<5,14,235,<20,0.41,<10,10,100,<10,101,50,<5,<20,<10,,<10,<10,10,59,,8.47,0.02,4.03,0.17,15.35,0.43,22.1,0.17,1.04,0.17,4.09,41.52,0.03,0.67,105.55,6.65
41,OVD040,77.5,46564,+,,x,,43,,,OVD040,46564,ok,77,79,2,Weak mineralized Hornblende Peridotite ,46564,,0.02,0.02,0.02,1280,,1840,,710,12,1.27,<5,13,288,<20,0.38,<10,<10,90,<10,99,50,<5,<20,<10,,10,<10,10,63,,8.11,0.01,4.07,0.19,15.2,0.39,23,0.18,1.38,0.16,3.21,41.66,0.03,0.62,105.35,6.67
42,OVD040,116.4,46592,+,,x,,,,,OVD040,46592,ok,117,118,1,Poorly mineralized Olivine Gabbro ,46592,,0.07,0.04,0.06,2150,,1765,,1000,8,1.39,<5,16,351,<20,0.48,<10,<10,125,<10,86,60,<5,<20,<10,,10,<10,10,92,,10.89,<0.01,5.49,0.12,13.06,0.25,16.85,0.15,1.72,0.23,3.48,42.89,0.04,0.81,102.75,6.14
